confidence,text
99.93390655517578,Green County Anima Shelter
99.88911437988281,ADOPTION/MEDICAL CONTRACT
99.8156967163086,(Non-Transferable)
98.7136001586914,Contract No. ABC-157890
99.85398864746094,Green County Animal Shelter
99.91311645507812,1234 Green Drive
99.58692932128906,License No.
98.88277435302734,DXY-23-FP
99.58358764648438,"Qweencity, QC 123456"
98.42096710205078,(123) 456-7890
97.62962341308594,Receipt No. 1234
99.57865142822266,Animal ID No. 56780
99.84765625,This contract is made between
99.83428955078125,Yan Yanovich
99.19558715820312,"Address Green Drive 145, Qweencity QC 1245678"
99.60577392578125,"Phone No. 145-678-908 and Green County Animal Shelter on, (date) 12/03/07 The fee for adoption is $25.00 which"
99.80026245117188,is refundable only when said terms of this contract are met and conditions specified apply.
85.8615493774414,I.
99.86285400390625,The Wilson County Anima Shelter agrees to the following:
97.68006896972656,A.
99.20974731445312,To give the adopter a receipt when he/she assumes possession and control of the animal described herein:
99.95323181152344,Breed
99.59202575683594,cat
99.92494201660156,Color
99.5608901977539,brown
99.8531723022461,Sex male
99.72423553466797,B.
98.22611999511719,To exchange or make refund on any animal that requires major medical treatment as certified by a veterinarian or
99.6933364868164,dies from natural causes within 7 calendar days from the date of adoption; either must be requested by adopter only.
99.4958724975586,C.
99.88304138183594,To exchange or make refund on any animal that exhibits unusual or unpredictable behavioral tendencies within 7
99.76042938232422,calendar days from the date of adoption; either must requested by the adopter only.
97.99662017822266,D.
99.7287368774414,The terms of this contract expires at 5:00 p.m. on (date)
99.7738265991211,12/03/07
96.84013366699219,II.
99.920654296875,Participating veterinary hospitals agree to provide the services stated herein for animals adopted from the Wilson County
99.86322784423828,Animal Shelter at no charge to the adopter and these services must be performed to validate the terms of this contract
99.94657135009766,except
99.9007797241211,as pertains to death from natural causes. A free examination will be given to include a visual and physical examination
99.63675689697266,"including a check of temperature, pulse, respiration, eyes, gum coloring, ears, and palpating the abdomen. The"
99.95052337646484,examination
99.88494873046875,"DOES NOT include any lab fees, vaccinations, or medications. These services included will be provided on a one time"
99.9618911743164,basis
99.79953002929688,only.
98.81257629394531,III.
95.60697174072266,"In return, as adopter, I Yan Yanovich"
99.8945083618164,agree to the following:
99.46205139160156,A.
99.85198211669922,"To take the animal to a participating veterinary hospital within stated period of time, which is 7 calendar days, to"
99.91576385498047,receive initial free examination. Form A must be completed by attending licensed veterinarian.
99.72215270996094,B.
99.58574676513672,"The animal will not be allowed to breed indiscriminately. As the adopter, I agree to provide adequate food, water,"
99.86201477050781,"shelter, and exercise and agree to obey all applicable laws governing control and custody of the animal, to include,"
99.45638275146484,"but not limited to, the proper confinement laws and wearing of tags as applicable."
99.56793975830078,C.
99.65888977050781,To provide with proper veterinary care as related to the specific type of animal. This is meant to include any yearly or
99.93319702148438,"other vaccinations, any needed medications or other special care as needed."
99.72545623779297,D.
95.3597640991211,"To exchange an animal, I understand that I must follow these specific criteria:"
99.63141632080078,1.
99.61621856689453,1 must have complied with Article A of this section.
99.34368133544922,2.
99.81702423095703,"The animal must be in such poor health that major medical treatment is necessary, unless #3 in this"
99.96343231201172,section
99.84048461914062,applies. Minor parasitical treatment is not considered a major medical problem.
99.82015991210938,3.
99.85659790039062,If the above free examination has been performed and the animal's behavior is unacceptable (this is not
99.9042739868164,to
99.57121276855469,"cover housetraining or any other trainable characteristic) to your household or living conditions, a refund"
98.16316223144531,may be made with the proper completion of Form B.
99.41130065917969,4.
99.9139175415039,"The animal along with the veterinarians completion of Form A shall be brought to the Animal Shelter, or"
99.81844329833984,in
99.87995147705078,"the event of the animal's death, the carcass and/or other satisfactory evidence of the death and date of"
99.8665771484375,death must be presented. Terms of this contract will recognize death by natural causes only.
99.4026870727539,5.
99.63059997558594,"The request for a refund or exchange must be made by the date and time specified in Section I, Article D"
99.94474792480469,of
99.86898040771484,this contract.
99.58280181884766,6.
99.73627471923828,"No refund or substitution shall be given for the animal that has been lost, stolen, or killed."
99.43801879882812,I understand the adoption contract requirements and further agree that failure to comply with this contract will result in the anima
99.95662689208984,Green
99.94905853271484,County
99.9323501586914,Anima
99.89759063720703,Shelter
99.89249420166016,ADOPTION/MEDICAL
99.88573455810547,CONTRACT
99.76571655273438,Contract
98.55313110351562,No.
97.82196044921875,ABC-157890
99.92971801757812,Green
99.80516815185547,County
99.85139465332031,Animal
99.8296890258789,Shelter
99.88753509521484,1234
99.91328430175781,Green
99.93853759765625,Drive
99.82778930664062,License
99.3460693359375,No.
99.90834045410156,"Qweencity,"
99.04214477539062,QC
99.80028533935547,123456
97.4068603515625,(123)
99.43506622314453,456-7890
93.53203582763672,Receipt
99.58349609375,No.
99.7733383178711,1234
99.71260833740234,Animal
99.62556457519531,ID
99.20380401611328,No.
99.7726058959961,56780
99.83867645263672,This
99.94464111328125,contract
99.59625244140625,is
99.92542266845703,made
99.93328857421875,between
99.74645233154297,Yan
99.92212677001953,Yanovich
99.94293975830078,Address
99.90641021728516,Green
99.73845672607422,Drive
99.45465850830078,"145,"
99.75225067138672,Qweencity
95.77289581298828,QC
99.80150604248047,1245678
99.76789855957031,Phone
99.32424926757812,No.
